title,description,url,source_name,published_at,emotion_label,emotion_score,mood
Trump fires the entire National Science Board,"Multiple sources are reporting that the Trump administration has dismissed the entire National Science Board (NSB). The NSB advises the president and Congress on the National Science Foundation (NSF), which has already been funding research at historically lo…",https://www.theverge.com/science/918769/trump-fires-the-entire-national-science-board,The Verge,2026-04-25T19:20:15Z,sadness,0.4244,sad
The Next Alzheimer’s Breakthrough Will Take More Than Just Science,"At WIRED Health, pioneering Alzheimer's researcher John Hardy outlined the stakes—and next steps—of where treatment is headed next.",https://www.wired.com/story/john-hardy-dementia-wired-health/,Wired,2026-05-01T18:55:56Z,neutral,0.9204,calm
"Players from the NBA, NFL, and MLB call for a ban on betting ‘unders’","The unions backing professional NBA, NFL, MLB, NHL, and MLS players are calling on the Commodity Futures Trading Commission (CFTC) to ban prediction market platforms from allowing users to bet on a player's underperformance or injury, Sports Business Journal …",https://www.theverge.com/entertainment/922244/nba-nfl-mlb-prediction-market-unders-bets,The Verge,2026-05-01T16:57:27Z,neutral,0.4478,calm
Hopeful Thought of the Day: Robots Can’t Do Human Conflict,"We kill each other just fine, thank you very much.",https://gizmodo.com/hopeful-thought-of-the-day-robots-cant-do-human-conflict-2000750599,Gizmodo.com,2026-04-25T14:39:57Z,neutral,0.4389,calm
Your guide to sci-fi streaming season,"I haven't quite figured out the reason why, but for the last few years, summer has become the moment for new science fiction shows on streaming services. And 2026 isn't any different - aside from the fact that premiere dates seem to be moving up a little. Thi…",https://www.theverge.com/tech/921610/sci-fi-streaming-shows-2026,The Verge,2026-05-01T12:25:59Z,neutral,0.7841,calm
An expert on Iranian politics reviews the status of negotiations to end the war on Iran,NPR's Elissa Nadworny talks to Mehrzad Boroujerdi of the Missouri University of Science and Technology about the status of the Trump Administration's negotiations to end the war on Iran.,https://www.npr.org/2026/05/09/nx-s1-5814972/an-expert-on-iranian-politics-review-the-status-of-negotiations-to-end-the-war-on-iran,NPR,2026-05-09T11:43:02Z,neutral,0.8951,calm
Get Ready for More Brain-Scanning Consumer Gadgets,"Neurable, which makes noninvasive brain-computer interfaces, is licensing its technology and promises a “flood” of new third-party hardware this year and next.",https://www.wired.com/story/get-ready-for-more-brain-scanning-consumer-gadgets/,Wired,2026-04-28T13:00:00Z,neutral,0.9198,calm
Why Labour's London squeeze exposes a fragmented modern British politics,London offers an insight into the dilemma Labour faces about which direction to take.,https://www.bbc.com/news/articles/cwy2vlww2ezo,BBC News,2026-05-01T06:09:47Z,neutral,0.857,calm
Larry’s risky business,"If you want to know whether the AI bubble is bursting, there's only one publicly traded company that will tell you: Oracle. That's right, the database company. Oracle has burned its boats and pivoted to AI, but not in any kind of usual way. It is not a founda…",https://www.theverge.com/ai-artificial-intelligence/920378/oracle-openai-datacenter-buildout,The Verge,2026-04-29T13:57:16Z,neutral,0.9328,calm
Netflix’s new INKubator studio will produce animated shorts with AI,"This is Lowpass by Janko Roettgers, a newsletter on the ever-evolving intersection of tech and entertainment, syndicated just for The Verge subscribers once a week. Netflix has been building a new internal studio called INKubator that aims to use AI to produc…",https://www.theverge.com/column/930118/netflix-gen-ai-animation-inkubator,The Verge,2026-05-13T20:18:45Z,neutral,0.8908,calm
"Back in 2000, Fox Executives Thought the ‘X-Men’ Movie Would Be a ‘Disaster’",The former CEO of Fox Filmed Entertainment recalls a very different outlook about superhero movies at the time.,https://gizmodo.com/fox-x-men-disaster-marvel-movies-2000749312,Gizmodo.com,2026-04-22T12:00:59Z,neutral,0.9244,calm
"After working on the Vision Pro, this AR veteran is going back to phones","This is Lowpass by Janko Roettgers, a newsletter on the ever-evolving intersection of tech and entertainment, syndicated just for The Verge subscribers once a week. When Mark Drummond was working on the Vision Pro at Apple, he had a bit of an epiphany that di…",https://www.theverge.com/column/921101/ar-mobile-pixi,The Verge,2026-04-30T12:04:11Z,neutral,0.7534,calm
"The Bloomberg Terminal Is Getting an AI Makeover, Like It or Not","WIRED spoke with Bloomberg's chief technology officer about the big, chatbot-style changes coming to the iconic platform for traders.",https://www.wired.com/story/the-bloomberg-terminal-is-getting-an-ai-makeover-like-it-or-not/,Wired,2026-04-28T08:30:00Z,neutral,0.9078,calm
Apple Sports now lets you follow scores in a CarPlay widget,"I was disappointed when Apple launched a new Sports iOS widget last year without CarPlay support, but I'm pleased to report that's changing this week. The latest Apple Sports update includes widget support in CarPlay, allowing you to follow live sports scores…",https://www.theverge.com/news/915564/apple-sports-widget-carplay,The Verge,2026-04-21T09:08:22Z,joy,0.6886,happy
Weekly sports quiz: How many tries did England score?,How much attention have you paid to what's happened in the world of sport over the past seven days?,https://www.bbc.com/sport/articles/clyply5e4z3o,BBC News,2026-04-30T07:03:04Z,neutral,0.757,calm
Watch Sony’s AI Robot Compete With—and Beat—Elite Table Tennis Players,"Ace is the first robot that can match serves with some of the best pro players in the world, a new study shows.",https://gizmodo.com/watch-sonys-ai-robot-compete-with-and-beat-elite-table-tennis-players-2000749346,Gizmodo.com,2026-04-22T15:00:02Z,neutral,0.8299,calm
Is Saudi Arabia's sports revolution unravelling?,"Saudi Arabia will withdraw its multi-billion dollar backing of LIV Golf, but what does this mean for the country's other sporting investments? Dan Roan takes a closer look.",https://www.bbc.com/sport/articles/cglp42nnyeko,BBC News,2026-05-01T07:49:18Z,neutral,0.8636,calm
Wes Streeting resigns as health secretary - his letter in full,Health Secretary Wes Streeting has announced his resignation from government.,https://www.bbc.com/news/articles/ce8p7p83vdzo,BBC News,2026-05-14T12:18:58Z,sadness,0.9732,sad
5 Reasons Why Summer Is the Worst Season of the Year,"Summer kind of sucks, and I have the science to prove it.",https://gizmodo.com/5-reasons-why-summer-is-the-worst-season-of-the-year-2000751772,Gizmodo.com,2026-04-29T10:00:49Z,disgust,0.5796,angry
"The 20 best countries in the world, ranked","US News & World Report ranked the best countries in the world. In 2026, the US fell short of the top 10, while many European countries filled out the list.",https://www.businessinsider.com/20-best-countries-in-the-world-ranked-2026,Business Insider,2026-05-15T17:57:42Z,neutral,0.7693,calm
WHO says hantavirus is 'not another COVID-19' and that the public health risk 'remains low',"The World Health Organization said eight cases of hantavirus, including three deaths, have been reported as of May 8.",https://www.businessinsider.com/hantavirus-outbreak-not-another-covid-19-pandemic-cruise-ship-who-2026-5,Business Insider,2026-05-09T16:46:36Z,neutral,0.7589,calm
"The simple health habits of top longevity doctors and scientists, who follow the science not trends","Top longevity doctors, scientists, and investors share the simple, evidence-backed habits they use to stay healthy — from sleep and diet to exercise.",https://www.businessinsider.com/longevity-experts-health-aging-hacks-2026-4,Business Insider,2026-04-29T09:01:01Z,neutral,0.9481,calm
Meet two JPMorgan tech dealmakers who just made managing director,JPMorgan just announced its newest class of managing directors — including two former members of Business Insider's Rising Stars of Wall Street list.,https://www.businessinsider.com/jpmorgan-tech-dealmakers-florian-plath-jack-levendoski-managing-director-2026-4,Business Insider,2026-04-24T15:47:39Z,neutral,0.4295,calm
The plan to quietly kill Coyote v. Acme blew up in David Zaslav’s face,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more on Hollywood trends and streaming culture, follow Charles Pulliam-Moore. The Stepback arrives in our subscribers' inboxes on Sundays at 8AM ET. Opt in fo…",https://www.theverge.com/column/918079/david-zaslav-warner-bros-discovery-coyote-v-acme-batgirl-tax-writeoffs,The Verge,2026-04-24T19:49:55Z,neutral,0.9355,calm
"Hisense Commits to Bringing MiniLED to More Users with U6SF & U6SF Pro, Delivering Premium Viewing Experiences",Hisense's U6SF & U6SF Pro redefine what mainstream MiniLED can deliver.,https://gizmodo.com/hisense-commits-to-bringing-miniled-to-more-users-with-u6sf-u6sf-pro-delivering-premium-viewing-experiences-2000752072,Gizmodo.com,2026-05-14T10:50:25Z,neutral,0.9019,calm
Meet the 11 rising stars of longevity medicine,"Interest in longevity medicine has exploded in recent years. Here's who's at the forefront of longevity science, investment, and medicine.",https://www.businessinsider.com/rising-stars-longevity-medicine-2026-4,Business Insider,2026-04-27T09:12:01Z,neutral,0.8107,calm
British man pleads guilty to conspiring to steal $8m in virtual currency,The Scottish 24-year-old admits defrauding at least a dozen companies and their employees across the US.,https://www.bbc.com/news/articles/c145yxjrllko,BBC News,2026-04-18T03:37:04Z,disgust,0.661,angry
