title,description,url,source_name,published_at,emotion_label,emotion_score
Trump fires the entire National Science Board,"Multiple sources are reporting that the Trump administration has dismissed the entire National Science Board (NSB). The NSB advises the president and Congress on the National Science Foundation (NSF), which has already been funding research at historically lo…",https://www.theverge.com/science/918769/trump-fires-the-entire-national-science-board,The Verge,2026-04-25T19:20:15Z,sadness,0.4244
The Next Alzheimer’s Breakthrough Will Take More Than Just Science,"At WIRED Health, pioneering Alzheimer's researcher John Hardy outlined the stakes—and next steps—of where treatment is headed next.",https://www.wired.com/story/john-hardy-dementia-wired-health/,Wired,2026-05-01T18:55:56Z,neutral,0.9204
"Players from the NBA, NFL, and MLB call for a ban on betting ‘unders’","The unions backing professional NBA, NFL, MLB, NHL, and MLS players are calling on the Commodity Futures Trading Commission (CFTC) to ban prediction market platforms from allowing users to bet on a player's underperformance or injury, Sports Business Journal …",https://www.theverge.com/entertainment/922244/nba-nfl-mlb-prediction-market-unders-bets,The Verge,2026-05-01T16:57:27Z,neutral,0.4478
Hopeful Thought of the Day: Robots Can’t Do Human Conflict,"We kill each other just fine, thank you very much.",https://gizmodo.com/hopeful-thought-of-the-day-robots-cant-do-human-conflict-2000750599,Gizmodo.com,2026-04-25T14:39:57Z,neutral,0.4389
The attacks on Sam Altman are a warning for the AI world,"Before allegedly throwing a Molotov cocktail at OpenAI CEO Sam Altman's home, the 20-year-old accused attacker wrote about his fear that the AI race would cause humans to go extinct, The San Francisco Chronicle found. Two days later, Altman's home appeared to…",https://www.theverge.com/ai-artificial-intelligence/911778/ai-violence-sam-altman-home,The Verge,2026-04-14T18:04:42Z,fear,0.8777
Your guide to sci-fi streaming season,"I haven't quite figured out the reason why, but for the last few years, summer has become the moment for new science fiction shows on streaming services. And 2026 isn't any different - aside from the fact that premiere dates seem to be moving up a little. Thi…",https://www.theverge.com/tech/921610/sci-fi-streaming-shows-2026,The Verge,2026-05-01T12:25:59Z,neutral,0.7841
An expert on Iranian politics reviews the status of negotiations to end the war on Iran,NPR's Elissa Nadworny talks to Mehrzad Boroujerdi of the Missouri University of Science and Technology about the status of the Trump Administration's negotiations to end the war on Iran.,https://www.npr.org/2026/05/09/nx-s1-5814972/an-expert-on-iranian-politics-review-the-status-of-negotiations-to-end-the-war-on-iran,NPR,2026-05-09T11:43:02Z,neutral,0.8951
Can Puck reinvent the news business for the influencer age?,"Today, I’m talking with Sarah Personette, CEO of Puck, which is a fancy new media company that’s been around for just about five years now. Puck hires big stars and gives them newsletters that are all mostly part of a subscription bundle. These newsletters ar…",https://www.theverge.com/podcast/910443/can-puck-reinvent-the-news-business-for-the-influencer-age,The Verge,2026-04-13T13:08:38Z,neutral,0.9014
Get Ready for More Brain-Scanning Consumer Gadgets,"Neurable, which makes noninvasive brain-computer interfaces, is licensing its technology and promises a “flood” of new third-party hardware this year and next.",https://www.wired.com/story/get-ready-for-more-brain-scanning-consumer-gadgets/,Wired,2026-04-28T13:00:00Z,neutral,0.9198
Why Labour's London squeeze exposes a fragmented modern British politics,London offers an insight into the dilemma Labour faces about which direction to take.,https://www.bbc.com/news/articles/cwy2vlww2ezo,BBC News,2026-05-01T06:09:47Z,neutral,0.857
